transaction_id,timestamp,user_id,amount,merchant_id,location,device_type,transaction_type,is_fraud,hour,day_of_week,is_weekend
TXN000000,2025-05-17 00:16:00,1035,259.86,2015,Mumbai,Android,transfer,0,0,Saturday,1
TXN000001,2025-05-06 13:48:00,1011,8922.87,2037,Kolkata,Android,transfer,0,13,Tuesday,0
TXN000002,2025-05-13 03:55:00,1077,2334.28,2001,Chennai,Android,purchase,0,3,Tuesday,0
TXN000003,2025-06-02 19:48:00,1000,5896.76,2048,Mumbai,Web,purchase,0,19,Monday,0
TXN000004,2025-05-13 21:31:00,1097,1563.24,2021,Delhi,Android,purchase,0,21,Tuesday,0
TXN000005,2025-05-26 23:33:00,1077,8476.47,2016,Delhi,Web,purchase,0,23,Monday,0
TXN000006,2025-06-03 04:45:00,1048,9731.43,2005,Chennai,iOS,bill,0,4,Tuesday,0
TXN000007,2025-05-08 10:22:00,1005,7048.67,2042,Mumbai,iOS,transfer,0,10,Thursday,0
TXN000008,2025-05-18 22:11:00,1048,8666.17,2017,Kolkata,Web,bill,0,22,Sunday,1
TXN000009,2025-05-17 20:27:00,1085,3559.15,2017,Delhi,Web,top-up,0,20,Saturday,1
TXN000010,2025-05-18 03:22:00,1059,2455.66,2024,Bangalore,Web,top-up,0,3,Sunday,1
TXN000011,2025-05-19 12:32:00,1099,8430.09,2003,Mumbai,Android,bill,0,12,Monday,0
TXN000012,2025-06-02 14:06:00,1072,671.22,2045,Bangalore,Android,purchase,0,14,Monday,0
TXN000013,2025-05-31 21:03:00,1058,9146.33,2009,Bangalore,Android,top-up,0,21,Saturday,1
TXN000014,2025-05-14 16:35:00,1095,5394.38,2037,Kolkata,Web,purchase,0,16,Wednesday,0
TXN000015,2025-05-05 09:12:00,1017,9973.28,2032,Kolkata,Android,transfer,0,9,Monday,0
TXN000016,2025-05-26 10:06:00,1020,1536.88,2043,Kolkata,Web,transfer,0,10,Monday,0
TXN000017,2025-05-17 01:51:00,1059,5962.93,2033,Bangalore,Web,transfer,0,1,Saturday,1
TXN000018,2025-05-25 22:15:00,1068,1154.37,2048,Bangalore,Web,bill,0,22,Sunday,1
TXN000019,2025-05-20 23:58:00,1058,4353.3,2000,Bangalore,Web,top-up,0,23,Tuesday,0
TXN000020,2025-06-02 16:24:00,1080,1073.04,2019,Chennai,Web,top-up,0,16,Monday,0
TXN000021,2025-05-27 21:43:00,1069,7627.48,2049,Chennai,Android,bill,0,21,Tuesday,0
TXN000022,2025-05-18 20:33:00,1046,1127.56,2019,Mumbai,Android,top-up,0,20,Sunday,1
TXN000023,2025-05-12 23:08:00,1010,9470.02,2046,Kolkata,Android,top-up,0,23,Monday,0
TXN000024,2025-05-31 09:44:00,1070,4758.07,2010,Bangalore,Web,purchase,0,9,Saturday,1
TXN000025,2025-05-18 07:10:00,1096,9289.85,2046,Mumbai,Web,bill,0,7,Sunday,1
TXN000026,2025-05-12 09:00:00,1047,6720.15,2028,Chennai,iOS,transfer,0,9,Monday,0
TXN000027,2025-05-07 16:48:00,1002,649.62,2037,Chennai,Android,top-up,0,16,Wednesday,0
