transaction_id,timestamp,user_id,amount,merchant_id,location,device_type,transaction_type,is_fraud
TXN000000,17-05-2025 00:16,1035,259.86,2015,Mumbai,Android,transfer,0
TXN000001,06-05-2025 13:48,1011,8922.87,2037,Kolkata,Android,transfer,0
TXN000002,13-05-2025 03:55,1077,2334.28,2001,Chennai,Android,purchase,0
TXN000003,02-06-2025 19:48,1000,5896.76,2048,Mumbai,Web,purchase,0
TXN000004,13-05-2025 21:31,1097,1563.24,2021,Delhi,Android,purchase,0
TXN000005,26-05-2025 23:33,1077,8476.47,2016,Delhi,Web,purchase,0
TXN000006,03-06-2025 04:45,1048,9731.43,2005,Chennai,iOS,bill,0
TXN000007,08-05-2025 10:22,1005,7048.67,2042,Mumbai,iOS,transfer,0
TXN000008,18-05-2025 22:11,1048,8666.17,2017,Kolkata,Web,bill,0
TXN000009,17-05-2025 20:27,1085,3559.15,2017,Delhi,Web,top-up,0
TXN000010,18-05-2025 03:22,1059,2455.66,2024,Bangalore,Web,top-up,0
TXN000011,19-05-2025 12:32,1099,8430.09,2003,Mumbai,Android,bill,0
TXN000012,02-06-2025 14:06,1072,671.22,2045,Bangalore,Android,purchase,0
TXN000013,31-05-2025 21:03,1058,9146.33,2009,Bangalore,Android,top-up,0
TXN000014,14-05-2025 16:35,1095,5394.38,2037,Kolkata,Web,purchase,0
TXN000015,05-05-2025 09:12,1017,9973.28,2032,Kolkata,Android,transfer,0
TXN000016,26-05-2025 10:06,1020,1536.88,2043,Kolkata,Web,transfer,0
TXN000017,17-05-2025 01:51,1059,5962.93,2033,Bangalore,Web,transfer,0
TXN000018,25-05-2025 22:15,1068,1154.37,2048,Bangalore,Web,bill,0
TXN000019,20-05-2025 23:58,1058,4353.3,2000,Bangalore,Web,top-up,0
TXN000020,02-06-2025 16:24,1080,1073.04,2019,Chennai,Web,top-up,0
TXN000021,27-05-2025 21:43,1069,7627.48,2049,Chennai,Android,bill,0
TXN000022,18-05-2025 20:33,1046,1127.56,2019,Mumbai,Android,top-up,0
