Feature,Mean_SHAP_Impact
rolling_fraud_rate_user_7d,5.2959867
user_fraud_rate,1.9113195
amount,0.8984082
merchant_fraud_rate,0.3250688
amount_zscore_user,0.3092973
peer_spend_ratio,0.27594376
user_std_amount,0.2598466
weighted_amount,0.24777104
txn_order,0.17939721
user_avg_amount,0.14882718
days_since_first_txn,0.14493285
user_txn_count,0.13379624
txn_amount_ratio_user_avg,0.12551965
time_diff_sec,0.122721225
user_txn_sum,0.11894148
location_device_interaction,0.1146948
merchant_unique_users,0.10753213
location_risk_score,0.09965
avg_time_gap_prev3,0.09373488
day_of_week_Tuesday,0.081189826
merchant_user_overlap,0.079360254
merchant_txn_count,0.0740142
time_diff,0.07286427
txn_velocity,0.069546044
hour,0.06582072
transaction_type_purchase,0.05126542
merchant_past_fraud_rate,0.031389244
day_of_week_Thursday,0.03107787
day_of_week_Monday,0.03039297
user_risk_score,0.027663711
txn_count_24h,0.025325635
recent_txn_weight,0.023967778
day_of_week_Wednesday,0.021807928
device_risk_score,0.019361027
day_of_week_Sunday,0.012923352
device_type_iOS,0.01185853
day_of_week_Saturday,0.011169567
is_weekend,0.008542405
transaction_type_top-up,0.00757352
transaction_type_transfer,0.006825924
device_txn_count,0.0039448813
is_night,0.0036125346
txn_count_1h,0.0010040785
is_risky_device,0.0
is_high_velocity,0.0
user_device_count,0.0
is_risky_location,0.0
device_type_Web,0.0
is_new_user,0.0
device_location_ratio,0.0
user_location_count,0.0
is_high_amount,0.0
txns_in_last_5min,0.0
